ID	genomic_species ID	subspecies	plot_subspecies	country	location	AbbrevMap	lat	long	lon.utm	lat.utm	sex	year	tissue	coverage	samtools.coverage	nuDNA coverage	nuDNA coverage st.dev	total_sites	homozygous_sites	proportion_heterozygous
EB101	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	F	2018	Muscle	5x	284334,00	284334,00	323189,00	126201344,00	126085895,00	0.0009156378144
EB111	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Point Hope	PH	68,34	-166,83	-542274.1	2318131.1	F	2019	Muscle	5x	326661,00	326661,00	36348,00	167097267,00	166933482.7	0.0009811352626
EB121	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Gambell	GA	63,78	-171,74	-416281.1	2867189.3	M	2019	Muscle	10x	297027,00	297027,00	325588,00	136431048,00	136290986.7	0.001027664054
EB131	E. barbatus	Atlantic	E. b. barbatus	Canada	Arviat	AR	61,11	-94,05	-3196595.5	226532.8	F	2013	Muscle	5x	416602,00	983092,00	776926,00	885456299,00	884529225.2	0.001048098545
EB134	E. barbatus	Atlantic	E. b. barbatus	Canada	Igloolik	IG	69,37	-81,80	-2241689.3	-323191.8	M	2020	Muscle	10x	322459,00	104036,00	822064,00	887422481,00	886466733.9	0.001078153384
EB137	E. barbatus	Atlantic	E. b. barbatus	Canada	Pangnirtung	PG	66,15	-65,71	-2395301.1	-1081095.1	F	2019	Muscle	5x	363055,00	363055,00	369633,00	219176669,00	218982538.2	0.0008865125363
EB140	E. barbatus	Atlantic	E. b. barbatus	Canada	Sanikiluaq	SQ	56,56	-79,21	-3670373.9	-699308.7	F	2020	Muscle	5x	336743,00	336743,00	354471,00	180026946,00	179858942.1	0.0009340870599
EB157	E. barbatus	Okhotsk	E. b. nauticus	Russia	Chkalov Island	CI	53,40	141,22	2575372.1	3205535.7	F	2013	dead body	30x	412845,00	412845,00	42389,00	313528967,00	313065756.6	0.001479594591
EB167	E. barbatus	Pacific	E. b. nauticus	Russia	Zaliv Lavrentiya (St Lawrence Bay)	BS	66,17	-169,81	-464371.4	2584746.1	M	2012	dead body	5x	3192718,00	318587,00	402091,00	177579755,00	177355157.6	0.001266370996
EB169	E. barbatus	Atlantic	E. b. barbatus	Svalbard/Norway	Svalbard	SV	78,08	13,28	298427.6	-1264531.2	F	2021	Muscle	10x	3842267,00	38344,00	495327,00	269642803,00	269350764.5	0.001084231273
EB174	E. barbatus	Atlantic	E. b. barbatus	Greenland	Qeqertarsuaq	QE	69,24	-53,56	-1834187.9	Muscle	M	2021	Muscle	10x	3846086,00	383864,00	45555,00	259793431,00	259524342.5	0.001036852821
EB181	E. barbatus	Atlantic	E. b. barbatus	Greenland	Nanortalik	KF	60,14	-45,24	-2355272.3	-2335968.6	M	1986	Muscle	5x	412769,00	412769,00	3959,00	308452892,00	308184007,00	0.0008724821008
